Username;Name;Gender;Party
SenatorBaldwin;Tammy Baldwin;Female;Democratic
SenJohnBarrasso;John Barrasso;Male;Republican
SenatorBennet;Michael Bennet;Male;Democratic
MarshaBlackburn;Marsha Blackburn;Female;Republican
SenBlumenthal;Richard Blumenthal;Male;Democratic
RoyBlunt;Roy Blunt;Male;Republican
CoryBooker;Cory Booker;Male;Democratic
JohnBoozman;John Boozman;Male;Republican
SenatorBraun;Mike Braun;Male;Republican
SenSherrodBrown;Sherrod Brown;Male;Democratic
SenatorCantwell;Maria Cantwell;Female;Democratic
SenCapito;Shelley Moore Capito;Female;Republican
SenatorCardin;Ben Cardin;Male;Democratic
SenatorCarper;Tom Carper;Male;Democratic
SenBobCasey;Bob Casey Jr.;Male;Democratic
SenBillCassidy;Bill Cassidy;Male;Republican
ChrisCoons;Chris Coons;Male;Democratic
JohnCornyn;John Cornyn;Male;Republican
SenCortezMasto;Catherine Cortez Masto;Female;Democratic
SenTomCotton;Tom Cotton;Male;Republican
SenKevinCramer;Kevin Cramer;Male;Republican
MikeCrapo;Mike Crapo;Male;Republican
SenTedCruz;Ted Cruz;Male;Republican
SteveDaines;Steve Daines;Male;Republican
SenDuckworth;Tammy Duckworth;Female;Democratic
SenatorDurbin;Dick Durbin;Male;Democratic
SenJoniErnst;Joni Ernst;Female;Republican
SenFeinstein;Dianne Feinstein;Female;Democratic
SenatorFischer;Deb Fischer;Female;Republican
SenGillibrand;Kirsten Gillibrand;Female;Democratic
LindseyGrahamSC;Lindsey Graham;Male;Republican
ChuckGrassley;Chuck Grassley;Male;Republican
SenatorHagerty;Bill Hagerty;Male;Republican
SenatorHassan;Maggie Hassan;Female;Democratic
HawleyMO;Josh Hawley;Male;Republican
MartinHeinrich;Martin Heinrich;Male;Democratic
SenatorHick;John Hickenlooper;Male;Democratic
maziehirono;Mazie Hirono;Female;Democratic
SenJohnHoeven;John Hoeven;Male;Republican
SenHydeSmith;Cindy Hyde-Smith;Female;Republican
JimInhofe;Jim Inhofe;Male;Republican
SenRonJohnson;Ron Johnson;Male;Republican
timkaine;Tim Kaine;Male;Democratic
SenMarkKelly;Mark Kelly;Male;Democratic
SenJohnKennedy;John Kennedy;Male;Republican
SenAngusKing;Angus King;Male;Independent
SenAmyKlobuchar;Amy Klobuchar;Female;Democratic
SenatorLankford;James Lankford;Male;Republican
SenatorLeahy;Patrick Leahy;Male;Democratic
SenMikeLee;Mike Lee;Male;Republican
SenatorLujan;Ben Ray Luján;Male;Democratic
SenLummis;Cynthia Lummis;Female;Republican
Sen_JoeManchin;Joe Manchin;Male;Democratic
SenMarkey;Ed Markey;Male;Democratic
SenatorMenendez;Bob Menendez;Male;Democratic
SenJeffMerkley;Jeff Merkley;Male;Democratic
JerryMoran;Jerry Moran;Male;Republican
lisamurkowski;Lisa Murkowski;Female;Republican
ChrisMurphyCT;Chris Murphy;Male;Democratic
PattyMurray;Patty Murray;Female;Democratic
ossoff;Jon Ossoff;Male;Democratic
SenAlexPadilla;Alex Padilla;Male;Democratic
RandPaul;Rand Paul;Male;Republican
SenGaryPeters;Gary Peters;Male;Democratic
senrobportman;Rob Portman;Male;Republican
SenJackReed;Jack Reed;Male;Democratic
SenatorRisch;Jim Risch;Male;Republican
SenatorRomney;Mitt Romney;Male;Republican
SenJackyRosen;Jacky Rosen;Female;Democratic
marcorubio;Marco Rubio;Male;Republican
SenSanders;Bernie Sanders;Male;Independent
SenSchumer;Chuck Schumer;Male;Democratic
SenRickScott;Rick Scott;Male;Republican
SenatorTimScott;Tim Scott;Male;Republican
SenatorShaheen;Jeanne Shaheen;Female;Democratic
SenatorSinema;Kyrsten Sinema;Female;Democratic
SenTinaSmith;Tina Smith;Female;Democratic
SenStabenow;Debbie Stabenow;Female;Democratic
SenDanSullivan;Dan Sullivan;Male;Republican
SenatorTester;Jon Tester;Male;Democratic
SenJohnThune;John Thune;Male;Republican
SenThomTillis;Thom Tillis;Male;Republican
SenToomey;Pat Toomey;Male;Republican
SenTuberville;Tommy Tuberville;Male;Republican
ChrisVanHollen;Chris Van Hollen;Male;Democratic
MarkWarner;Mark Warner;Male;Democratic
SenatorWarnock;Raphael Warnock;Male;Democratic
SenWarren;Elizabeth Warren;Female;Democratic
SenWhitehouse;Sheldon Whitehouse;Male;Democratic
SenatorWicker;Roger Wicker;Male;Republican
RonWyden;Ron Wyden;Male;Democratic
SenToddYoung;Todd Young;Male;Republican
RepAdams;Alma Adams;Female;Republican
Robert_Aderholt;Robert Aderholt;Male;Republican
